id,vanda_id,type,subtype,name
2400001,VNDA2400001,Asset Class,Depository Receipts,Depository Receipts
2400005,VNDA2400005,Asset Class,Exchange Traded Commodities (ETC),Exchange Traded Commodities (ETC)
2400003,VNDA2400003,Asset Class,Exchange Traded Funds (ETF),Exchange Traded Funds (ETF)
2400002,VNDA2400002,Asset Class,Exchange Traded Products (ETF/ETC),Exchange Traded Products (ETF/ETC)
2400004,VNDA2400004,Asset Class,Fixed Income/Bonds,Fixed Income/Bonds
2400000,VNDA2400000,Asset Class,Single Stocks,Single Stocks
2100000,VNDA2100000,Benchmark,DIJA,DIJA
2100001,VNDA2100001,Benchmark,DJTA,DJTA
2100002,VNDA2100002,Benchmark,DJU,DJU
2100003,VNDA2100003,Benchmark,Nasdaq-100,Nasdaq-100
2100005,VNDA2100005,Benchmark,Russell-1000,Russell-1000
2100006,VNDA2100006,Benchmark,Russell-2000,Russell-2000
2100007,VNDA2100007,Benchmark,Russell-3000,Russell-3000
2100004,VNDA2100004,Benchmark,S&P500,S&P500
2000141,VNDA2000141,Benchmark Industry,DIJA (Aerospace & Defense),DIJA (Aerospace & Defense)
2000190,VNDA2000190,Benchmark Industry,DIJA (Banks),DIJA (Banks)
2000282,VNDA2000282,Benchmark Industry,DIJA (Beverages),DIJA (Beverages)
2000435,VNDA2000435,Benchmark Industry,DIJA (Biotechnology),DIJA (Biotechnology)
2000441,VNDA2000441,Benchmark Industry,DIJA (Broadline Retail),DIJA (Broadline Retail)
2000426,VNDA2000426,Benchmark Industry,DIJA (Capital Markets),DIJA (Capital Markets)
2000205,VNDA2000205,Benchmark Industry,DIJA (Chemicals),DIJA (Chemicals)
2000235,VNDA2000235,Benchmark Industry,DIJA (Communications Equipment),DIJA (Communications Equipment)
2000373,VNDA2000373,Benchmark Industry,DIJA (Consumer Finance),DIJA (Consumer Finance)
2000318,VNDA2000318,Benchmark Industry,DIJA (Consumer Staples Distribution & Retail),DIJA (Consumer Staples Distribution & Retail)
2000195,VNDA2000195,Benchmark Industry,DIJA (Diversified Telecommunication Services),DIJA (Diversified Telecommunication Services)
2000363,VNDA2000363,Benchmark Industry,DIJA (Entertainment),DIJA (Entertainment)
2000427,VNDA2000427,Benchmark Industry,DIJA (Financial Services),DIJA (Financial Services)
2000378,VNDA2000378,Benchmark Industry,DIJA (Food Products),Dow Jones Industrial Average (Food Products)
2000420,VNDA2000420,Benchmark Industry,DIJA (Health Care Providers & Services),DIJA (Health Care Providers & Services)
2000108,VNDA2000108,Benchmark Industry,"DIJA (Hotels, Restaurants & Leisure)","DIJA (Hotels, Restaurants & Leisure)"
2000220,VNDA2000220,Benchmark Industry,DIJA (Household Products),DIJA (Household Products)
2000114,VNDA2000114,Benchmark Industry,DIJA (IT Services),DIJA (IT Services)
2000103,VNDA2000103,Benchmark Industry,DIJA (Industrial Conglomerates),DIJA (Industrial Conglomerates)
2000155,VNDA2000155,Benchmark Industry,DIJA (Insurance),DIJA (Insurance)
2000229,VNDA2000229,Benchmark Industry,DIJA (Machinery),DIJA (Machinery)
2000162,VNDA2000162,Benchmark Industry,"DIJA (Oil, Gas & Consumable Fuels)","DIJA (Oil, Gas & Consumable Fuels)"
2000124,VNDA2000124,Benchmark Industry,DIJA (Pharmaceuticals),DIJA (Pharmaceuticals)
2000070,VNDA2000070,Benchmark Industry,DIJA (Semiconductors & Semiconductor Equipment),DIJA (Semiconductors & Semiconductor Equipment)
2000255,VNDA2000255,Benchmark Industry,DIJA (Software),DIJA (Software)
2000130,VNDA2000130,Benchmark Industry,DIJA (Specialty Retail),DIJA (Specialty Retail)
2000353,VNDA2000353,Benchmark Industry,"DIJA (Technology Hardware, Storage & Peripherals)","DIJA (Technology Hardware, Storage & Peripherals)"
2000425,VNDA2000425,Benchmark Industry,"DIJA (Textiles, Apparel & Luxury Goods)","DIJA (Textiles, Apparel & Luxury Goods)"
2000287,VNDA2000287,Benchmark Industry,DJTA (Air Freight & Logistics),DJTA (Air Freight & Logistics)
2000329,VNDA2000329,Benchmark Industry,DJTA (Ground Transportation),DJTA (Ground Transportation)
2000151,VNDA2000151,Benchmark Industry,DJTA (Marine Transportation),DJTA (Marine Transportation)
2000163,VNDA2000163,Benchmark Industry,"DJTA (Oil, Gas & Consumable Fuels)","DJTA (Oil, Gas & Consumable Fuels)"
2000250,VNDA2000250,Benchmark Industry,DJTA (Passenger Airlines),DJTA (Passenger Airlines)
2000271,VNDA2000271,Benchmark Industry,DJTA (Trading Companies & Distributors),DJTA (Trading Companies & Distributors)
2000277,VNDA2000277,Benchmark Industry,DJU (Electric Utilities),DJU (Electric Utilities)
2000437,VNDA2000437,Benchmark Industry,DJU (Gas Utilities),DJU (Gas Utilities)
2000211,VNDA2000211,Benchmark Industry,DJU (Independent Power and Renewable Electricity Producers),DJU (Independent Power and Renewable Electricity Producers)
2000146,VNDA2000146,Benchmark Industry,DJU (Multi-Utilities),DJU (Multi-Utilities)
2000164,VNDA2000164,Benchmark Industry,"DJU (Oil, Gas & Consumable Fuels)","DJU (Oil, Gas & Consumable Fuels)"
2000428,VNDA2000428,Benchmark Industry,DJU (Water Utilities),DJU (Water Utilities)
2000444,VNDA2000444,Benchmark Industry,Nasdaq-100 (Aerospace & Defense),Nasdaq-100 (Aerospace & Defense)
2000288,VNDA2000288,Benchmark Industry,Nasdaq-100 (Air Freight & Logistics),Nasdaq-100 (Air Freight & Logistics)
2000424,VNDA2000424,Benchmark Industry,Nasdaq-100 (Automobiles),Nasdaq-100 (Automobiles)
2000419,VNDA2000419,Benchmark Industry,Nasdaq-100 (Beverages),Nasdaq-100 (Beverages)
2000185,VNDA2000185,Benchmark Industry,Nasdaq-100 (Biotechnology),Nasdaq-100 (Biotechnology)
2000261,VNDA2000261,Benchmark Industry,Nasdaq-100 (Broadline Retail),Nasdaq-100 (Broadline Retail)
2000206,VNDA2000206,Benchmark Industry,Nasdaq-100 (Chemicals),Nasdaq-100 (Chemicals)
2000136,VNDA2000136,Benchmark Industry,Nasdaq-100 (Commercial Services & Supplies),Nasdaq-100 (Commercial Services & Supplies)
2000236,VNDA2000236,Benchmark Industry,Nasdaq-100 (Communications Equipment),Nasdaq-100 (Communications Equipment)
2000245,VNDA2000245,Benchmark Industry,Nasdaq-100 (Construction & Engineering),Nasdaq-100 (Construction & Engineering)
2000319,VNDA2000319,Benchmark Industry,Nasdaq-100 (Consumer Staples Distribution & Retail),Nasdaq-100 (Consumer Staples Distribution & Retail)
2000076,VNDA2000076,Benchmark Industry,Nasdaq-100 (Diversified Consumer Services),Nasdaq-100 (Diversified Consumer Services)
2000422,VNDA2000422,Benchmark Industry,Nasdaq-100 (Diversified Telecommunication Services),Nasdaq-100 (Diversified Telecommunication Services)
2000432,VNDA2000432,Benchmark Industry,Nasdaq-100 (Electric Utilities),Nasdaq-100 (Electric Utilities)
2000200,VNDA2000200,Benchmark Industry,"Nasdaq-100 (Electronic Equipment, Instruments & Components)","Nasdaq-100 (Electronic Equipment, Instruments & Components)"
2000439,VNDA2000439,Benchmark Industry,Nasdaq-100 (Energy Equipment & Services),Nasdaq-100 (Energy Equipment & Services)
2000364,VNDA2000364,Benchmark Industry,Nasdaq-100 (Entertainment),Nasdaq-100 (Entertainment)
2000324,VNDA2000324,Benchmark Industry,Nasdaq-100 (Financial Services),Nasdaq-100 (Financial Services)
2000415,VNDA2000415,Benchmark Industry,Nasdaq-100 (Food Products),Nasdaq-100 (Food Products)
2000330,VNDA2000330,Benchmark Industry,Nasdaq-100 (Ground Transportation),Nasdaq-100 (Ground Transportation)
2000065,VNDA2000065,Benchmark Industry,Nasdaq-100 (Health Care Equipment & Supplies),Nasdaq-100 (Health Care Equipment & Supplies)
2000335,VNDA2000335,Benchmark Industry,Nasdaq-100 (Health Care Providers & Services),Nasdaq-100 (Health Care Providers & Services)
2000359,VNDA2000359,Benchmark Industry,Nasdaq-100 (Health Care Technology),Nasdaq-100 (Health Care Technology)
2000109,VNDA2000109,Benchmark Industry,"Nasdaq-100 (Hotels, Restaurants & Leisure)","Nasdaq-100 (Hotels, Restaurants & Leisure)"
2000173,VNDA2000173,Benchmark Industry,Nasdaq-100 (Household Durables),Nasdaq-100 (Household Durables)
2000115,VNDA2000115,Benchmark Industry,Nasdaq-100 (IT Services),Nasdaq-100 (IT Services)
2000436,VNDA2000436,Benchmark Industry,Nasdaq-100 (Industrial Conglomerates),Nasdaq-100 (Industrial Conglomerates)
2000433,VNDA2000433,Benchmark Industry,Nasdaq-100 (Insurance),Nasdaq-100 (Insurance)
2000085,VNDA2000085,Benchmark Industry,Nasdaq-100 (Interactive Media & Services),Nasdaq-100 (Interactive Media & Services)
2000348,VNDA2000348,Benchmark Industry,Nasdaq-100 (Leisure Products),Nasdaq-100 (Leisure Products)
2000304,VNDA2000304,Benchmark Industry,Nasdaq-100 (Life Sciences Tools & Services),Nasdaq-100 (Life Sciences Tools & Services)
2000230,VNDA2000230,Benchmark Industry,Nasdaq-100 (Machinery),Nasdaq-100 (Machinery)
2000313,VNDA2000313,Benchmark Industry,Nasdaq-100 (Media),Nasdaq-100 (Media)
2000418,VNDA2000418,Benchmark Industry,Nasdaq-100 (Metals & Mining),Nasdaq-100 (Metals & Mining)
2000440,VNDA2000440,Benchmark Industry,"Nasdaq-100 (Oil, Gas & Consumable Fuels)","Nasdaq-100 (Oil, Gas & Consumable Fuels)"
2000429,VNDA2000429,Benchmark Industry,Nasdaq-100 (Passenger Airlines),Nasdaq-100 (Passenger Airlines)
2000125,VNDA2000125,Benchmark Industry,Nasdaq-100 (Pharmaceuticals),Nasdaq-100 (Pharmaceuticals)
2000266,VNDA2000266,Benchmark Industry,Nasdaq-100 (Professional Services),Nasdaq-100 (Professional Services)
2000434,VNDA2000434,Benchmark Industry,Nasdaq-100 (Real Estate Management & Development),Nasdaq-100 (Real Estate Management & Development)
2000071,VNDA2000071,Benchmark Industry,Nasdaq-100 (Semiconductors & Semiconductor Equipment),Nasdaq-100 (Semiconductors & Semiconductor Equipment)
2000256,VNDA2000256,Benchmark Industry,Nasdaq-100 (Software),Nasdaq-100 (Software)
2000423,VNDA2000423,Benchmark Industry,Nasdaq-100 (Specialized REITs),Nasdaq-100 (Specialized REITs)
2000131,VNDA2000131,Benchmark Industry,Nasdaq-100 (Specialty Retail),Nasdaq-100 (Specialty Retail)
2000354,VNDA2000354,Benchmark Industry,"Nasdaq-100 (Technology Hardware, Storage & Peripherals)","Nasdaq-100 (Technology Hardware, Storage & Peripherals)"
2000417,VNDA2000417,Benchmark Industry,"Nasdaq-100 (Textiles, Apparel & Luxury Goods)","Nasdaq-100 (Textiles, Apparel & Luxury Goods)"
2000272,VNDA2000272,Benchmark Industry,Nasdaq-100 (Trading Companies & Distributors),Nasdaq-100 (Trading Companies & Distributors)
2000090,VNDA2000090,Benchmark Industry,Nasdaq-100 (Wireless Telecommunication Services),Nasdaq-100 (Wireless Telecommunication Services)
2000143,VNDA2000143,Benchmark Industry,Russell-1000 (Aerospace & Defense),Russell-1000 (Aerospace & Defense)
2000290,VNDA2000290,Benchmark Industry,Russell-1000 (Air Freight & Logistics),Russell-1000 (Air Freight & Logistics)
2000384,VNDA2000384,Benchmark Industry,Russell-1000 (Automobile Components),Russell-1000 (Automobile Components)
2000301,VNDA2000301,Benchmark Industry,Russell-1000 (Automobiles),Russell-1000 (Automobiles)
2000192,VNDA2000192,Benchmark Industry,Russell-1000 (Banks),Russell-1000 (Banks)
2000284,VNDA2000284,Benchmark Industry,Russell-1000 (Beverages),Russell-1000 (Beverages)
2000187,VNDA2000187,Benchmark Industry,Russell-1000 (Biotechnology),Russell-1000 (Biotechnology)
2000263,VNDA2000263,Benchmark Industry,Russell-1000 (Broadline Retail),Russell-1000 (Broadline Retail)
2000391,VNDA2000391,Benchmark Industry,Russell-1000 (Building Products),Russell-1000 (Building Products)
2000121,VNDA2000121,Benchmark Industry,Russell-1000 (Capital Markets),Russell-1000 (Capital Markets)
2000208,VNDA2000208,Benchmark Industry,Russell-1000 (Chemicals),Russell-1000 (Chemicals)
2000138,VNDA2000138,Benchmark Industry,Russell-1000 (Commercial Services & Supplies),Russell-1000 (Commercial Services & Supplies)
2000238,VNDA2000238,Benchmark Industry,Russell-1000 (Communications Equipment),Russell-1000 (Communications Equipment)
2000247,VNDA2000247,Benchmark Industry,Russell-1000 (Construction & Engineering),Russell-1000 (Construction & Engineering)
2000217,VNDA2000217,Benchmark Industry,Russell-1000 (Construction Materials),Russell-1000 (Construction Materials)
2000375,VNDA2000375,Benchmark Industry,Russell-1000 (Consumer Finance),Russell-1000 (Consumer Finance)
2000321,VNDA2000321,Benchmark Industry,Russell-1000 (Consumer Staples Distribution & Retail),Russell-1000 (Consumer Staples Distribution & Retail)
2000170,VNDA2000170,Benchmark Industry,Russell-1000 (Containers & Packaging),Russell-1000 (Containers & Packaging)
2000406,VNDA2000406,Benchmark Industry,Russell-1000 (Distributors),Russell-1000 (Distributors)
2000078,VNDA2000078,Benchmark Industry,Russell-1000 (Diversified Consumer Services),Russell-1000 (Diversified Consumer Services)
2000387,VNDA2000387,Benchmark Industry,Russell-1000 (Diversified REITs),Russell-1000 (Diversified REITs)
2000197,VNDA2000197,Benchmark Industry,Russell-1000 (Diversified Telecommunication Services),Russell-1000 (Diversified Telecommunication Services)
2000279,VNDA2000279,Benchmark Industry,Russell-1000 (Electric Utilities),Russell-1000 (Electric Utilities)
2000226,VNDA2000226,Benchmark Industry,Russell-1000 (Electrical Equipment),Russell-1000 (Electrical Equipment)
2000202,VNDA2000202,Benchmark Industry,"Russell-1000 (Electronic Equipment, Instruments & Components)","Russell-1000 (Electronic Equipment, Instruments & Components)"
2000082,VNDA2000082,Benchmark Industry,Russell-1000 (Energy Equipment & Services),Russell-1000 (Energy Equipment & Services)
2000366,VNDA2000366,Benchmark Industry,Russell-1000 (Entertainment),Russell-1000 (Entertainment)
2000326,VNDA2000326,Benchmark Industry,Russell-1000 (Financial Services),Russell-1000 (Financial Services)
2000380,VNDA2000380,Benchmark Industry,Russell-1000 (Food Products),Russell-1000 (Food Products)
2000341,VNDA2000341,Benchmark Industry,Russell-1000 (Gas Utilities),Russell-1000 (Gas Utilities)
2000332,VNDA2000332,Benchmark Industry,Russell-1000 (Ground Transportation),Russell-1000 (Ground Transportation)
2000067,VNDA2000067,Benchmark Industry,Russell-1000 (Health Care Equipment & Supplies),Russell-1000 (Health Care Equipment & Supplies)
2000337,VNDA2000337,Benchmark Industry,Russell-1000 (Health Care Providers & Services),Russell-1000 (Health Care Providers & Services)
2000410,VNDA2000410,Benchmark Industry,Russell-1000 (Health Care REITs),Russell-1000 (Health Care REITs)
2000360,VNDA2000360,Benchmark Industry,Russell-1000 (Health Care Technology),Russell-1000 (Health Care Technology)
